top	id	flows	u	au	ch	RM	RMt	RMm	RMp	RMh	DM	DMt	DMm	DMp	DMh	PDM	PDMt	PDMm	PDMp	PDMh	CLLF	CLLFt	CLLFm	CLLFp	CLLFh	EDF	EDFt	EDFm	EDFp	EDFh	LST	LSTt	LSTm	LSTp	LSTh	EPD	EPDt	EPDm	EPDp	EPDh	EDZL	EDZLt	EDZLm	EDZLp	EDZLh	LST_MCF	LST_MCFt	LST_MCFm	LST_MCFp	LST_MCFh	Alice	Alicet	Alicem	Alicep	Aliceh	Tasa	Tasat	Tasam	Tasap	Tasah	Random	Randomt	Randomm	Randomp	Randomh
64	2851	15	6.030	5.379	1	-1	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0
64	2851	15	6.030	5.379	2	-1	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0
64	2851	15	6.030	5.379	4	-1	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0
64	2851	15	6.030	5.379	8	1	23	3	60868	10000	1	24	3	60868	10000	0	0	0	0	0	1	787	5	65318	10000	1	23	3	59170	10000	1	23	4	61985	10000	1	25	4	69999	10000	1	24	3	60005	10000	1	62	3	62068	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
64	2851	15	6.030	5.379	16	1	22	4	59397	10000	1	22	4	59397	10000	1	26	4	63456	10000	1	710	5	62917	10000	1	21	4	56894	10000	1	23	4	62972	10000	1	23	3	65464	10000	1	23	3	60743	10000	1	60	4	62427	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
65	2852	12	8.109	6.930	1	-1	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0
65	2852	12	8.109	6.930	2	-1	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0
65	2852	12	8.109	6.930	4	-1	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0
65	2852	12	8.109	6.930	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	44	3	3525	400	1	1	3	3123	400	0	0	0	0	0	1	1	4	4113	400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
65	2852	12	8.109	6.930	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	31	4	3218	400	1	1	5	3016	400	0	0	0	0	0	1	1	4	3325	400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
